Player,From,To,Pos,Ht,Wt,Birth Date,Colleges,Hall_of_Fame,Active,Url,Path
Ron Anderson,1985,1994,F-G,6-7,215.0,"October 15, 1958",Fresno State,False,False,https://www.basketball-reference.com/players/a/anderro01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{anderro01.html
Ryan Anderson,2009,2020,F,6-9,240.0,"May 6, 1988",California,False,False,https://www.basketball-reference.com/players/a/anderry01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{anderry01.html
Shandon Anderson,1997,2006,F-G,6-6,208.0,"December 31, 1973",Georgia,False,False,https://www.basketball-reference.com/players/a/andersh01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{andersh01.html
Willie Anderson,1989,1997,G-F,6-7,190.0,"January 8, 1967",Georgia,False,False,https://www.basketball-reference.com/players/a/anderwi01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{anderwi01.html
Wally Anderzunas,1970,1970,C-F,6-7,220.0,"January 11, 1946",Creighton,False,False,https://www.basketball-reference.com/players/a/anderwa01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{anderwa01.html
Martynas Andriuškevičius,2006,2006,C,7-2,240.0,"March 12, 1986",,False,False,https://www.basketball-reference.com/players/a/andrima01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{andrima01.html
Don Anielak,1955,1955,F,6-7,190.0,"November 1, 1930",Missouri State,False,False,https://www.basketball-reference.com/players/a/anieldo01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{anieldo01.html
Ike Anigbogu,2018,2019,F-C,6-10,250.0,"October 17, 1998",UCLA,False,False,https://www.basketball-reference.com/players/a/anigbik01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{anigbik01.html
Michael Ansley,1990,1992,F,6-7,225.0,"February 8, 1967",Alabama,False,False,https://www.basketball-reference.com/players/a/anslemi01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{anslemi01.html
Chris Anstey,1998,2000,C,7-0,249.0,"January 1, 1975",,False,False,https://www.basketball-reference.com/players/a/anstech01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{anstech01.html
Giannis Antetokounmpo,2014,2024,F-G,6-11,242.0,"December 6, 1994",,False,True,https://www.basketball-reference.com/players/a/antetgi01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{antetgi01.html
Kostas Antetokounmpo,2019,2021,F,6-10,200.0,"November 20, 1997",Dayton,False,True,https://www.basketball-reference.com/players/a/antetko01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{antetko01.html
Thanasis Antetokounmpo,2016,2024,F,6-7,219.0,"July 18, 1992",,False,True,https://www.basketball-reference.com/players/a/antetth01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{antetth01.html
Carmelo Anthony,2004,2022,F,6-7,238.0,"May 29, 1984",Syracuse,False,False,https://www.basketball-reference.com/players/a/anthoca01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{anthoca01.html
Cole Anthony,2021,2024,G,6-2,185.0,"May 15, 2000",UNC,False,True,https://www.basketball-reference.com/players/a/anthoco01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{anthoco01.html
Greg Anthony,1992,2002,G,6-0,176.0,"November 15, 1967","University of Portland, UNLV",False,False,https://www.basketball-reference.com/players/a/anthogr01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{anthogr01.html
Joel Anthony,2008,2017,C,6-9,245.0,"August 9, 1982",UNLV,False,False,https://www.basketball-reference.com/players/a/anthojo01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{anthojo01.html
Pero Antić,2014,2015,C-F,6-11,260.0,"July 29, 1982",,False,False,https://www.basketball-reference.com/players/a/anticpe01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{anticpe01.html
OG Anunoby,2018,2024,F,6-7,232.0,"July 17, 1997",Indiana,False,True,https://www.basketball-reference.com/players/a/anunoog01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{anunoog01.html
Keith Appling,2016,2016,G,6-1,185.0,"February 13, 1992",Michigan State,False,False,https://www.basketball-reference.com/players/a/applike01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{applike01.html
Rafael Araújo,2005,2007,C,6-11,280.0,"August 12, 1980",BYU,False,False,https://www.basketball-reference.com/players/a/araujra01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{araujra01.html
Stacey Arceneaux,1962,1962,F,6-4,210.0,"February 17, 1936",Iowa State,False,False,https://www.basketball-reference.com/players/a/arcenst01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{arcenst01.html
Robert Archibald,2003,2004,F,6-11,250.0,"March 29, 1980",Illinois,False,False,https://www.basketball-reference.com/players/a/archiro01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{archiro01.html
Tiny Archibald,1971,1984,G,6-1,150.0,"September 2, 1948",Texas-El Paso,True,False,https://www.basketball-reference.com/players/a/architi01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{architi01.html
Ryan Arcidiacono,2018,2024,G,6-3,195.0,"March 26, 1994",Villanova,False,True,https://www.basketball-reference.com/players/a/arcidry01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{arcidry01.html
Jim Ard,1971,1978,F-C,6-8,215.0,"September 19, 1948",Cincinnati,False,False,https://www.basketball-reference.com/players/a/ardji01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{ardji01.html
Gilbert Arenas,2002,2012,G,6-4,191.0,"January 6, 1982",Arizona,False,False,https://www.basketball-reference.com/players/a/arenagi01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{arenagi01.html
Trevor Ariza,2005,2022,F,6-8,215.0,"June 30, 1985",UCLA,False,False,https://www.basketball-reference.com/players/a/arizatr01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{arizatr01.html
Paul Arizin,1951,1962,F-G,6-4,190.0,"April 9, 1928",Villanova,True,False,https://www.basketball-reference.com/players/a/arizipa01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{arizipa01.html
Joe Arlauckas,1988,1988,F,6-9,230.0,"July 20, 1965",Niagara University,False,False,https://www.basketball-reference.com/players/a/arlaujo01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{arlaujo01.html
B.J. Armstrong,1990,2000,G,6-2,175.0,"September 9, 1967",Iowa,False,False,https://www.basketball-reference.com/players/a/armstbj01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{armstbj01.html
Bob Armstrong,1957,1957,C-F,6-8,220.0,"June 17, 1933",Michigan State,False,False,https://www.basketball-reference.com/players/a/armstbo01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{armstbo01.html
Brandon Armstrong,2002,2004,G,6-5,188.0,"June 16, 1980",Pepperdine,False,False,https://www.basketball-reference.com/players/a/armstbr01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{armstbr01.html
Curly Armstrong,1949,1951,G-F,5-11,170.0,"November 1, 1918",Indiana,False,False,https://www.basketball-reference.com/players/a/armstcu01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{armstcu01.html
Darrell Armstrong,1995,2008,G,6-0,170.0,"June 22, 1968",Fayetteville State University,False,False,https://www.basketball-reference.com/players/a/armstda01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{armstda01.html
Hilton Armstrong,2007,2014,F-C,6-11,235.0,"November 11, 1984",UConn,False,False,https://www.basketball-reference.com/players/a/armsthi01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{armsthi01.html
Tate Armstrong,1978,1979,G,6-3,175.0,"October 5, 1955",Duke,False,False,https://www.basketball-reference.com/players/a/armstta01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{armstta01.html
Jesse Arnelle,1956,1956,F,6-5,220.0,"December 30, 1933",Penn State,False,False,https://www.basketball-reference.com/players/a/arnelje01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{arnelje01.html
Jay Arnette,1964,1966,G,6-2,175.0,"December 19, 1938",Texas,False,False,https://www.basketball-reference.com/players/a/arnetja01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{arnetja01.html
Bob Arnzen,1970,1974,F,6-5,205.0,"November 3, 1947",Notre Dame,False,False,https://www.basketball-reference.com/players/a/arnzebo01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{arnzebo01.html
Carlos Arroyo,2002,2011,G,6-2,202.0,"July 30, 1979",Florida International University,False,False,https://www.basketball-reference.com/players/a/arroyca01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{arroyca01.html
Darrell Arthur,2009,2018,F,6-9,235.0,"March 25, 1988",Kansas,False,False,https://www.basketball-reference.com/players/a/arthuda01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{arthuda01.html
John Arthurs,1970,1970,G,6-4,185.0,"August 15, 1947",Tulane,False,False,https://www.basketball-reference.com/players/a/arthujo01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{arthujo01.html
Jamel Artis,2018,2018,G-F,6-7,213.0,"January 12, 1993",Pitt,False,False,https://www.basketball-reference.com/players/a/artisja01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{artisja01.html
Ömer Aşık,2011,2018,C,7-0,255.0,"July 4, 1986",,False,False,https://www.basketball-reference.com/players/a/asikom01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{asikom01.html
Vincent Askew,1988,1998,G-F,6-6,210.0,"February 28, 1966",Memphis,False,False,https://www.basketball-reference.com/players/a/askewvi01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{askewvi01.html
Keith Askins,1991,1999,G-F,6-7,197.0,"December 15, 1967",Alabama,False,False,https://www.basketball-reference.com/players/a/askinke01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{askinke01.html
Don Asmonga,1954,1954,G,6-2,185.0,"February 15, 1928",Alliance College,False,False,https://www.basketball-reference.com/players/a/asmondo01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{asmondo01.html
Dick Atha,1956,1958,G,6-2,190.0,"September 21, 1931",Indiana State University,False,False,https://www.basketball-reference.com/players/a/athadi01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{athadi01.html
Chucky Atkins,2000,2010,G,5-11,160.0,"August 14, 1974",South Florida,False,False,https://www.basketball-reference.com/players/a/atkinch01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{atkinch01.html
Al Attles,1961,1971,G,6-0,175.0,"November 7, 1936",North Carolina A&T,True,False,https://www.basketball-reference.com/players/a/attleal01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{attleal01.html
Chet Aubuchon,1947,1947,G,5-10,137.0,"May 18, 1916",Michigan State,False,False,https://www.basketball-reference.com/players/a/aubucch01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{aubucch01.html
Stacey Augmon,1992,2006,F-G,6-8,205.0,"August 1, 1968",UNLV,False,False,https://www.basketball-reference.com/players/a/augmost01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{augmost01.html
D.J. Augustin,2009,2022,G,5-11,183.0,"November 10, 1987",Texas,False,False,https://www.basketball-reference.com/players/a/augusdj01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{augusdj01.html
James Augustine,2007,2008,F,6-10,235.0,"February 27, 1984",Illinois,False,False,https://www.basketball-reference.com/players/a/augusja01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{augusja01.html
Isaac Austin,1992,2002,C,6-10,255.0,"August 18, 1969",Arizona State,False,False,https://www.basketball-reference.com/players/a/austiis01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{austiis01.html
Johnny Austin,1967,1968,G,6-0,170.0,"August 31, 1944",Boston College,False,False,https://www.basketball-reference.com/players/a/austijo01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{austijo01.html
Ken Austin,1984,1984,F,6-9,205.0,"July 15, 1961",Rice University,False,False,https://www.basketball-reference.com/players/a/austike01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{austike01.html
Deni Avdija,2021,2024,G-F,6-9,210.0,"January 3, 2001",,False,True,https://www.basketball-reference.com/players/a/avdijde01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{avdijde01.html
Anthony Avent,1993,2000,F,6-9,235.0,"October 18, 1969",Seton Hall,False,False,https://www.basketball-reference.com/players/a/aventan01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{aventan01.html
Bird Averitt,1974,1978,G,6-1,170.0,"July 22, 1952",Pepperdine,False,False,https://www.basketball-reference.com/players/a/averibi01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{averibi01.html
William Avery,2000,2002,G,6-2,197.0,"August 8, 1979",Duke,False,False,https://www.basketball-reference.com/players/a/averywi01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{averywi01.html
Dennis Awtrey,1971,1982,C,6-10,235.0,"February 22, 1948",Santa Clara,False,False,https://www.basketball-reference.com/players/a/awtrede01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{awtrede01.html
Joel Ayayi,2022,2022,G,6-5,180.0,"March 5, 2000",Gonzaga,False,True,https://www.basketball-reference.com/players/a/ayayijo01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{ayayijo01.html
Gustavo Ayón,2012,2014,C,6-10,250.0,"April 1, 1985",,False,False,https://www.basketball-reference.com/players/a/ayongu01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{ayongu01.html
Jeff Ayres,2010,2016,F,6-9,240.0,"April 29, 1987",Arizona State,False,False,https://www.basketball-reference.com/players/p/pendeje02.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{p{pendeje02.html
Deandre Ayton,2019,2024,C,7-0,250.0,"July 23, 1998",Arizona,False,True,https://www.basketball-reference.com/players/a/aytonde01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{aytonde01.html
Kelenna Azubuike,2007,2012,G,6-5,220.0,"December 16, 1983",Kentucky,False,False,https://www.basketball-reference.com/players/a/azubuke01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{azubuke01.html
Udoka Azubuike,2021,2024,C,6-10,280.0,"September 17, 1999",Kansas,False,True,https://www.basketball-reference.com/players/a/azubuud01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{azubuud01.html
Chris Babb,2014,2014,G,6-5,225.0,"February 14, 1990","Penn State, Iowa State",False,False,https://www.basketball-reference.com/players/b/babbch01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{b{babbch01.html
Luke Babbitt,2011,2018,F,6-9,225.0,"June 20, 1989",Nevada,False,False,https://www.basketball-reference.com/players/b/babbilu01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{b{babbilu01.html
